title,artist,year,chart_position,weeks_on_chart,tempo,energy,loudness,danceability,acousticness,speechiness,instrumentalness,valence
without love,tom jones,1970,92,1,86.1328125,0.4531700679234096,-24.139047622680664,0.2193177342414856,0.0,0.2681723237037658,0.5977415144443512,0.6466328975132534
woodstock,"crosby, stills, nash & young",1970,94,1,112.34714673913044,0.4891620635986328,-22.87932777404785,0.2637346088886261,0.0,0.0647131949663162,0.9029302075505256,0.7100048700178632
ill never fall in love again,dionne warwick,1970,95,1,135.99917763157896,0.6017108372279576,-18.940120697021484,0.2812594175338745,0.0,0.1043999642133712,0.8434000536799431,0.7831975480846893
the thrill is gone,b.b. king,1970,98,1,89.10290948275862,0.5836288452148437,-19.57299041748047,0.2399206906557083,0.2212005816426778,1.0,0.0,0.6790891465060229
its only make believe,glen campbell,1970,99,1,112.34714673913044,0.6154326847621373,-18.459856033325195,0.1835117936134338,0.0,0.7483115196228027,0.0,0.7352589942505641
call me,aretha franklin,1970,100,1,117.45383522727272,0.1187125069754464,-35.845062255859375,0.1769693493843078,0.0,0.2000673413276672,0.6998989880084991,0.146857862596388
joy to the world,three dog night,1971,1,1,129.19921875,0.5063521248953683,-22.27767562866211,0.2300598472356796,0.0,0.3465722799301147,0.4801415801048279,0.7495544651576451
maggie mayreason to believe,rod stewart,1971,2,1,129.19921875,0.4164071219308036,-25.425750732421875,0.209934577345848,0.2514094321737796,0.218112900853157,0.6728306487202644,0.7315654645647321
its too latei feel the earth move,carole king,1971,3,1,117.45383522727272,0.4967514038085937,-22.61370086669922,0.2353071421384811,0.0,0.8976335525512695,0.0,0.2224656419630174
how can you mend a broken heart,bee gees,1971,5,1,71.77734375,0.2852607727050781,-30.015872955322266,0.2037444859743118,0.0,0.2173559963703155,0.6739660054445267,0.5822893197195871
go away little girl,donny osmond,1971,7,1,112.34714673913044,0.5645304543631418,-20.24143409729004,0.2266364246606826,0.0,0.3484143614768982,0.4773784577846527,0.725078548170765
