title,artist,year,chart_position,weeks_on_chart,decade,top10
precious and few,climax,1972,30,1,1970s,0.0
nights in white satin,the moody blues,1972,32,1,1970s,0.0
go all the way,raspberries,1972,33,1,1970s,0.0
too late to turn back now,cornelius brothers & sister rose,1972,34,1,1970s,0.0
back stabbers,the o'jays,1972,35,1,1970s,0.0
sunshine,jonathan edwards,1972,38,1,1970s,0.0
day after day,badfinger,1972,39,1,1970s,0.0
rocket man,elton john,1972,40,1,1970s,0.0
rockin robin,michael jackson,1972,41,1,1970s,0.0
beautiful sunday,daniel boone,1972,42,1,1970s,0.0
scorpio,dennis coffey & the detroit guitar band,1972,43,1,1970s,0.0
morning has broken,cat stevens,1972,44,1,1970s,0.0
garden party,rick nelson,1972,46,1,1970s,0.0
i can see clearly now,johnny nash,1972,47,1,1970s,0.0
burning love,elvis presley,1972,48,1,1970s,0.0
clean up woman,betty wright,1972,49,1,1970s,0.0
hold your head up,argent,1972,50,1,1970s,0.0
everything i own,bread,1972,52,1,1970s,0.0
in the rain,the dramatics,1972,53,1,1970s,0.0
look what you done for me,al green,1972,54,1,1970s,0.0
where is the love,roberta flack & donny hathaway,1972,56,1,1970s,0.0
bang a gong,t. rex,1972,57,1,1970s,0.0
mother and child reunion,paul simon,1972,58,1,1970s,0.0
im still in love with you,al green,1972,59,1,1970s,0.0
layla,derek & the dominos,1972,60,1,1970s,0.0
day dreaming,aretha franklin,1972,61,1,1970s,0.0
black and white,three dog night,1972,63,1,1970s,0.0
hurting each other,carpenters,1972,65,1,1970s,0.0
coconut,nilsson,1972,66,1,1970s,0.0
dont say you dont remember,beverly bremers,1972,67,1,1970s,0.0
puppy love,donny osmond,1972,68,1,1970s,0.0
you dont mess around with jim,jim croce,1972,69,1,1970s,0.0
hot rod lincoln,commander cody & his lost planet airmen,1972,70,1,1970s,0.0
joy,apollo 100,1972,72,1,1970s,0.0
anticipation,carly simon,1972,73,1,1970s,0.0
never been to spain,three dog night,1972,74,1,1970s,0.0
schools out,alice cooper,1972,76,1,1970s,0.0
saturday in the park,chicago,1972,77,1,1970s,0.0
drowning in the sea of love,joe simon,1972,78,1,1970s,0.0
use me,bill withers,1972,79,1,1970s,0.0
family affair,sly & the family stone,1972,80,1,1970s,0.0
power of love,joe simon,1972,84,1,1970s,0.0
aint understanding mellow,jerry butler & brenda lee eager,1972,85,1,1970s,0.0
taxi,harry chapin,1972,86,1,1970s,0.0
sealed with a kiss,bobby vinton,1972,87,1,1970s,0.0
i saw the light,todd rundgren,1972,88,1,1970s,0.0
motorcycle mama,sailcat,1972,89,1,1970s,0.0
day by day,godspell,1972,90,1,1970s,0.0
roundabout,yes,1972,91,1,1970s,0.0
doctor my eyes,jackson browne,1972,92,1,1970s,0.0
baby let me take you,detroit emeralds,1972,95,1,1970s,0.0
speak to the sky,rick springfield,1972,96,1,1970s,0.0
bad bad leroy brown,jim croce,1973,2,1,1970s,1.0
killing me softly with his song,roberta flack,1973,3,1,1970s,1.0
lets get it on,marvin gaye,1973,4,1,1970s,1.0
crocodile rock,elton john,1973,7,1,1970s,1.0
will it go round in circles,billy preston,1973,8,1,1970s,1.0
youre so vain,carly simon,1973,9,1,1970s,1.0
touch me in the morning,diana ross,1973,10,1,1970s,1.0
the night the lights went out in georgia,vicki lawrence,1973,11,1,1970s,0.0
playground in my mind,clint holmes,1973,12,1,1970s,0.0
delta dawn,helen reddy,1973,14,1,1970s,0.0
frankenstein,edgar winter group,1973,16,1,1970s,0.0
little willy,the sweet,1973,18,1,1970s,0.0
you are the sunshine of my life,stevie wonder,1973,19,1,1970s,0.0
half breed,cher,1973,20,1,1970s,0.0
that lady,the isley brothers,1973,21,1,1970s,0.0
were an american band,grand funk railroad,1973,23,1,1970s,0.0
right place wrong time,dr. john,1973,24,1,1970s,0.0
wildflower,skylark,1973,25,1,1970s,0.0
superstition,stevie wonder,1973,26,1,1970s,0.0
the morning after,maureen mcgovern,1973,28,1,1970s,0.0
rocky mountain high,john denver,1973,29,1,1970s,0.0
stuck in the middle with you,stealers wheel,1973,30,1,1970s,0.0
shambala,three dog night,1973,31,1,1970s,0.0
love train,the o'jays,1973,32,1,1970s,0.0
keep on truckin,eddie kendricks,1973,35,1,1970s,0.0
dannys song,anne murray,1973,36,1,1970s,0.0
dancing in the moonlight,king harvest,1973,37,1,1970s,0.0
natural high,bloodstone,1973,39,1,1970s,0.0
diamond girl,seals & crofts,1973,40,1,1970s,0.0
long train running,the doobie brothers,1973,41,1,1970s,0.0
give me love,george harrison,1973,42,1,1970s,0.0
if you want me to stay,sly & the family stone,1973,43,1,1970s,0.0
daddys home,jermaine jackson,1973,44,1,1970s,0.0
neither one of us,gladys knight and the pips,1973,45,1,1970s,0.0
im doing fine now,new york city,1973,46,1,1970s,0.0
could it be im falling in love,the spinners,1973,47,1,1970s,0.0
daniel,elton john,1973,48,1,1970s,0.0
midnight train to georgia,gladys knight and the pips,1973,49,1,1970s,0.0
smoke on the water,deep purple,1973,50,1,1970s,0.0
behind closed doors,charlie rich,1973,52,1,1970s,0.0
your mama dont dance,loggins & messina,1973,53,1,1970s,0.0
feelin stronger every day,chicago,1973,54,1,1970s,0.0
cisco kid,war,1973,55,1,1970s,0.0
live and let die,wings,1973,56,1,1970s,0.0
i believe in you,johnnie taylor,1973,58,1,1970s,0.0
sing,carpenters,1973,59,1,1970s,0.0
dueling banjos,eric weissberg & steve mandell,1973,61,1,1970s,0.0
higher ground,stevie wonder,1973,62,1,1970s,0.0
here i am,al green,1973,63,1,1970s,0.0
superfly,curtis mayfield,1973,65,1,1970s,0.0
last song,edward bear,1973,66,1,1970s,0.0
get down,gilbert o'sullivan,1973,67,1,1970s,0.0
reelin in the years,steely dan,1973,68,1,1970s,0.0
hocus pocus,focus,1973,69,1,1970s,0.0
yesterday once more,carpenters,1973,70,1,1970s,0.0
boogie woogie bugle boy,bette midler,1973,71,1,1970s,0.0
clair,gilbert o'sullivan,1973,72,1,1970s,0.0
do it again,steely dan,1973,73,1,1970s,0.0
kodachrome,paul simon,1973,74,1,1970s,0.0
why cant we live together,timmy thomas,1973,75,1,1970s,0.0
so very hard to go,tower of power,1973,77,1,1970s,0.0
masterpiece,the temptations,1973,80,1,1970s,0.0
peaceful,helen reddy,1973,81,1,1970s,0.0
one of a kind,spinners,1973,82,1,1970s,0.0
funny face,donna fargo,1973,83,1,1970s,0.0
funky worm,ohio players,1973,84,1,1970s,0.0
angie,the rolling stones,1973,85,1,1970s,0.0
dont expect me to be your friend,lobo,1973,87,1,1970s,0.0
break up to make up,the stylistics,1973,88,1,1970s,0.0
daisy a day,jud strunk,1973,89,1,1970s,0.0
also sprach zarathustra,deodato,1973,90,1,1970s,0.0
stir it up,johnny nash,1973,91,1,1970s,0.0
money,pink floyd,1973,92,1,1970s,0.0
gypsy man,war,1973,93,1,1970s,0.0
the world is a ghetto,war,1973,94,1,1970s,0.0
yes we can can,the pointer sisters,1973,95,1,1970s,0.0
free ride,edgar winter group,1973,96,1,1970s,0.0
space oddity,david bowie,1973,97,1,1970s,0.0
it never rains in southern california,albert hammond,1973,98,1,1970s,0.0
the twelfth of never,donny osmond,1973,99,1,1970s,0.0
the way we were,barbra streisand,1974,1,1,1970s,1.0
seasons in the sun,terry jacks,1974,2,1,1970s,1.0
loves theme,love unlimited orchestra,1974,3,1,1970s,1.0
come and get your love,redbone,1974,4,1,1970s,1.0
dancing machine,jackson 5,1974,5,1,1970s,1.0
tsop,mfsb,1974,7,1,1970s,1.0
the streak,ray stevens,1974,8,1,1970s,1.0
bennie and the jets,elton john,1974,9,1,1970s,1.0
one hell of a woman,mac davis,1974,10,1,1970s,1.0
until you come back to me,aretha franklin,1974,11,1,1970s,0.0
jungle boogie,kool & the gang,1974,12,1,1970s,0.0
