title,artist,year,chart_position,weeks_on_chart,decade,top10
brokenhearted,karmin,2012,59,1,2010s,0.0
not over you,gavin degraw,2012,60,1,2010s,0.0
back in time,pitbull,2012,62,1,2010s,0.0
work out,j. cole,2012,63,1,2010s,0.0
rumour has it,adele,2012,64,1,2010s,0.0
lets go,calvin harris featuring ne-yo,2012,65,1,2010s,0.0
good girl,carrie underwood,2012,66,1,2010s,0.0
pontoon,little big town,2012,67,1,2010s,0.0
ho hey,the lumineers,2012,68,1,2010s,0.0
paradise,coldplay,2012,69,1,2010s,0.0
blown away,carrie underwood,2012,70,1,2010s,0.0
climax,usher,2012,72,1,2010s,0.0
work hard play hard,wiz khalifa,2012,73,1,2010s,0.0
let me love you,ne-yo,2012,74,1,2010s,0.0
pound the alarm,nicki minaj,2012,75,1,2010s,0.0
come over,kenny chesney,2012,76,1,2010s,0.0
heart attack,trey songz,2012,77,1,2010s,0.0
drank in my cup,kirko bangz,2012,78,1,2010s,0.0
birthday cake,rihanna featuring chris brown,2012,79,1,2010s,0.0
so good,b.o.b,2012,80,1,2010s,0.0
50 ways to say goodbye,train,2012,81,1,2010s,0.0
red solo cup,toby keith,2012,82,1,2010s,0.0
love you like a love song,selena gomez & the scene,2012,83,1,2010s,0.0
turn up the music,chris brown,2012,84,1,2010s,0.0
die young,ke$ha,2012,85,1,2010s,0.0
5 oclock,t-pain featuring wiz khalifa & lily allen,2012,86,1,2010s,0.0
a thousand years,christina perri,2012,87,1,2010s,0.0
take a little ride,jason aldean,2012,88,1,2010s,0.0
you da one,rihanna,2012,89,1,2010s,0.0
we run the night,havana brown featuring pitbull,2012,90,1,2010s,0.0
its time,imagine dragons,2012,91,1,2010s,0.0
cashin out,ca$h out,2012,92,1,2010s,0.0
i dont want this night to end,luke bryan,2012,93,1,2010s,0.0
diamonds,rihanna,2012,94,1,2010s,0.0
hard to love,lee brice,2012,95,1,2010s,0.0
somethin bout a truck,kip moore,2012,96,1,2010s,0.0
adorn,miguel,2012,97,1,2010s,0.0
fly over states,jason aldean,2012,98,1,2010s,0.0
even if it breaks your heart,eli young band,2012,99,1,2010s,0.0
burn it down,linkin park,2012,100,1,2010s,0.0
thrift shop,macklemore & ryan lewis featuring wanz,2013,1,1,2010s,1.0
blurred lines,robin thicke featuring t.i. + pharrell,2013,2,1,2010s,1.0
radioactive,imagine dragons,2013,3,1,2010s,1.0
harlem shake,baauer,2013,4,1,2010s,1.0
cant hold us,macklemore & ryan lewis featuring ray dalton,2013,5,1,2010s,1.0
mirrors,justin timberlake,2013,6,1,2010s,1.0
just give me a reason,p!nk featuring nate ruess,2013,7,1,2010s,1.0
when i was your man,bruno mars,2013,8,1,2010s,1.0
cruise,florida georgia line featuring nelly,2013,9,1,2010s,1.0
roar,katy perry,2013,10,1,2010s,1.0
locked out of heaven,bruno mars,2013,11,1,2010s,0.0
stay,rihanna featuring mikky ekko,2013,13,1,2010s,0.0
get lucky,daft punk featuring pharrell williams,2013,14,1,2010s,0.0
royals,lorde,2013,15,1,2010s,0.0
i knew you were trouble,taylor swift,2013,16,1,2010s,0.0
we cant stop,miley cyrus,2013,17,1,2010s,0.0
wrecking ball,miley cyrus,2013,18,1,2010s,0.0
wake me up,avicii,2013,19,1,2010s,0.0
suit  tie,justin timberlake featuring jay z,2013,20,1,2010s,0.0
cups,anna kendrick,2013,21,1,2010s,0.0
holy grail,jay z featuring justin timberlake,2013,22,1,2010s,0.0
scream  shout,will.i.am & britney spears,2013,23,1,2010s,0.0
clarity,zedd featuring foxes,2013,24,1,2010s,0.0
sail,awolnation,2013,25,1,2010s,0.0
dont you worry child,swedish house mafia featuring john martin,2013,26,1,2010s,0.0
i love it,icona pop featuring charli xcx,2013,28,1,2010s,0.0
safe and sound,capital cities,2013,29,1,2010s,0.0
treasure,bruno mars,2013,30,1,2010s,0.0
the way,ariana grande featuring mac miller,2013,31,1,2010s,0.0
started from the bottom,drake,2013,32,1,2010s,0.0
come  get it,selena gomez,2013,33,1,2010s,0.0
hold on were going home,drake featuring majid jordan,2013,34,1,2010s,0.0
daylight,maroon 5,2013,35,1,2010s,0.0
feel this moment,pitbull featuring christina aguilera,2013,36,1,2010s,0.0
applause,lady gaga,2013,37,1,2010s,0.0
love me,lil wayne featuring drake & future,2013,39,1,2010s,0.0
my songs know what you did in the dark,fall out boy,2013,40,1,2010s,0.0
fkin problems,"a$ap rocky featuring drake, 2 chainz & kendrick lamar",2013,41,1,2010s,0.0
beauty and a beat,justin bieber featuring nicki minaj,2013,42,1,2010s,0.0
same love,macklemore & ryan lewis featuring mary lambert,2013,43,1,2010s,0.0
sweet nothing,calvin harris featuring florence welch,2013,44,1,2010s,0.0
summertime sadness,lana del rey vs. cedric gervais,2013,45,1,2010s,0.0
power trip,j. cole featuring miguel,2013,48,1,2010s,0.0
girl on fire,alicia keys featuring nicki minaj,2013,49,1,2010s,0.0
heart attack,demi lovato,2013,50,1,2010s,0.0
love somebody,maroon 5,2013,51,1,2010s,0.0
i will wait,mumford & sons,2013,52,1,2010s,0.0
try,p!nk,2013,53,1,2010s,0.0
wagon wheel,darius rucker,2013,54,1,2010s,0.0
i need your love,calvin harris featuring ellie goulding,2013,56,1,2010s,0.0
bad,wale featuring tiara thomas or rihanna,2013,59,1,2010s,0.0
boys round here,blake shelton featuring pistol annies & friends,2013,60,1,2010s,0.0
gone gone gone,phillip phillips,2013,61,1,2010s,0.0
demons,imagine dragons,2013,62,1,2010s,0.0
counting stars,onerepublic,2013,63,1,2010s,0.0
i cry,flo rida,2013,64,1,2010s,0.0
little talks,of monsters and men,2013,65,1,2010s,0.0
the other side,jason derulo,2013,66,1,2010s,0.0
berzerk,eminem,2013,67,1,2010s,0.0
catch my breath,kelly clarkson,2013,68,1,2010s,0.0
crash my party,luke bryan,2013,69,1,2010s,0.0
pour it up,rihanna,2013,70,1,2010s,0.0
22,taylor swift,2013,71,1,2010s,0.0
i want crazy,hunter hayes,2013,72,1,2010s,0.0
the fox,ylvis,2013,73,1,2010s,0.0
best song ever,one direction,2013,74,1,2010s,0.0
the a team,ed sheeran,2013,75,1,2010s,0.0
carry on,fun.,2013,76,1,2010s,0.0
highway dont care,tim mcgraw,2013,77,1,2010s,0.0
thats my kind of night,luke bryan,2013,78,1,2010s,0.0
swimming pools,kendrick lamar,2013,79,1,2010s,0.0
sure be cool if you did,blake shelton,2013,80,1,2010s,0.0
beautiful,mariah carey featuring miguel,2013,81,1,2010s,0.0
troublemaker,olly murs featuring flo rida,2013,82,1,2010s,0.0
body party,ciara,2013,83,1,2010s,0.0
hall of fame,the script featuring will.i.am,2013,85,1,2010s,0.0
uoeno,rocko featuring future & rick ross,2013,87,1,2010s,0.0
next to me,emeli sande,2013,88,1,2010s,0.0
mamas broken heart,miranda lambert,2013,89,1,2010s,0.0
it goes like this,thomas rhett,2013,90,1,2010s,0.0
bugatti,ace hood featuring future & rick ross,2013,91,1,2010s,0.0
downtown,lady antebellum,2013,93,1,2010s,0.0
get your shine on,florida georgia line,2013,94,1,2010s,0.0
thatpower,will.i.am featuring justin bieber,2013,95,1,2010s,0.0
brave,sara bareilles,2013,96,1,2010s,0.0
let her go,passenger,2013,97,1,2010s,0.0
runnin outta moonlight,randy houser,2013,98,1,2010s,0.0
im different,2 chainz,2013,99,1,2010s,0.0
still into you,paramore,2013,100,1,2010s,0.0
happy,pharrell williams,2014,1,1,2010s,1.0
dark horse,katy perry featuring juicy j,2014,2,1,2010s,1.0
all of me,john legend,2014,3,1,2010s,1.0
fancy,iggy azalea featuring charli xcx,2014,4,1,2010s,1.0
talk dirty,jason derulo featuring 2 chainz,2014,6,1,2010s,1.0
rude,magic!,2014,7,1,2010s,1.0
all about that bass,meghan trainor,2014,8,1,2010s,1.0
problem,ariana grande featuring iggy azalea,2014,9,1,2010s,1.0
stay with me,sam smith,2014,10,1,2010s,1.0
timber,pitbull featuring ke$ha,2014,11,1,2010s,0.0
pompeii,bastille,2014,12,1,2010s,0.0
shake it off,taylor swift,2014,13,1,2010s,0.0
am i wrong,nico & vinz,2014,14,1,2010s,0.0
turn down for what,dj snake & lil jon,2014,15,1,2010s,0.0
the monster,eminem featuring rihanna,2014,16,1,2010s,0.0
say something,a great big world & christina aguilera,2014,17,1,2010s,0.0
team,lorde,2014,18,1,2010s,0.0
let it go,idina menzel,2014,21,1,2010s,0.0
story of my life,one direction,2014,24,1,2010s,0.0
chandelier,sia,2014,25,1,2010s,0.0
black widow,iggy azalea featuring rita ora,2014,26,1,2010s,0.0
bang bang,"jessie j, ariana grande & nicki minaj",2014,27,1,2010s,0.0
latch,disclosure featuring sam smith,2014,28,1,2010s,0.0
maps,maroon 5,2014,29,1,2010s,0.0
loyal,chris brown featuring lil wayne & french montana or too $hort or tyga,2014,30,1,2010s,0.0
best day of my life,american authors,2014,31,1,2010s,0.0
habits,tove lo,2014,32,1,2010s,0.0
summer,calvin harris,2014,33,1,2010s,0.0
boom clap,charli xcx,2014,34,1,2010s,0.0
drunk in love,beyonce featuring jay z,2014,35,1,2010s,0.0
anaconda,nicki minaj,2014,36,1,2010s,0.0
break free,ariana grande featuring zedd,2014,37,1,2010s,0.0
bailando,enrique iglesias featuring descemer bueno & gente de zona,2014,38,1,2010s,0.0
burn,ellie goulding,2014,39,1,2010s,0.0
wiggle,jason derulo featuring snoop dogg,2014,40,1,2010s,0.0
rather be,clean bandit featuring jess glynne,2014,41,1,2010s,0.0
dont tell em,jeremih featuring yg,2014,42,1,2010s,0.0
show me,kid ink featuring chris brown,2014,43,1,2010s,0.0
not a bad thing,justin timberlake,2014,45,1,2010s,0.0
aint it fun,paramore,2014,47,1,2010s,0.0
the man,aloe blacc,2014,48,1,2010s,0.0
this is how we roll,florida georgia line featuring luke bryan,2014,49,1,2010s,0.0
classic,mkto,2014,50,1,2010s,0.0
a sky full of stars,coldplay,2014,51,1,2010s,0.0
dont,ed sheeran,2014,52,1,2010s,0.0
na na,trey songz,2014,53,1,2010s,0.0
hot boy,bobby shmurda,2014,54,1,2010s,0.0
sing,ed sheeran,2014,56,1,2010s,0.0
my hitta,yg featuring jeezy & rich homie quan,2014,58,1,2010s,0.0
cool kids,echosmith,2014,59,1,2010s,0.0
hey brother,avicii,2014,60,1,2010s,0.0
trumpets,jason derulo,2014,61,1,2010s,0.0
animals,maroon 5,2014,62,1,2010s,0.0
burnin it down,jason aldean,2014,63,1,2010s,0.0
play it again,luke bryan,2014,64,1,2010s,0.0
2 on,tinashe featuring schoolboy q,2014,65,1,2010s,0.0
dirt,florida georgia line,2014,66,1,2010s,0.0
love runs out,onerepublic,2014,67,1,2010s,0.0
bottoms up,brantley gilbert,2014,68,1,2010s,0.0
shower,becky g,2014,69,1,2010s,0.0
me and my broken heart,rixton,2014,70,1,2010s,0.0
animals,martin garrix,2014,71,1,2010s,0.0
lifestyle,rich gang featuring young thug & rich homie quan,2014,72,1,2010s,0.0
american kids,kenny chesney,2014,73,1,2010s,0.0
sweater weather,the neighbourhood,2014,75,1,2010s,0.0
leave the night on,sam hunt,2014,76,1,2010s,0.0
new flame,chris brown featuring usher & rick ross,2014,77,1,2010s,0.0
love never felt so good,michael jackson & justin timberlake,2014,78,1,2010s,0.0
drunk on a plane,dierks bentley,2014,79,1,2010s,0.0
birthday,katy perry,2014,80,1,2010s,0.0
bartender,lady antebellum,2014,81,1,2010s,0.0
la la la,naughty boy featuring sam smith,2014,82,1,2010s,0.0
do what u want,lady gaga featuring r. kelly,2014,84,1,2010s,0.0
cant remember to forget you,shakira featuring rihanna,2014,85,1,2010s,0.0
amnesia,5 seconds of summer,2014,86,1,2010s,0.0
no mediocre,t.i. featuring iggy azalea,2014,87,1,2010s,0.0
come with me now,kongos,2014,88,1,2010s,0.0
believe me,lil wayne featuring drake,2014,89,1,2010s,0.0
23,"mike will made-it featuring miley cyrus, wiz khalifa & juicy j",2014,90,1,2010s,0.0
beachin,jake owen,2014,91,1,2010s,0.0
white walls,macklemore & ryan lewis featuring schoolboy q & hollis,2014,92,1,2010s,0.0
she looks so perfect,5 seconds of summer,2014,93,1,2010s,0.0
stay the night,zedd featuring hayley williams,2014,94,1,2010s,0.0
partition,beyonce,2014,95,1,2010s,0.0
studio,schoolboy q featuring bj the chicago kid,2014,96,1,2010s,0.0
0 to 100  the catch up,drake,2014,97,1,2010s,0.0
i dont dance,lee brice,2014,98,1,2010s,0.0
somethin bad,miranda lambert duet,2014,99,1,2010s,0.0
adore you,miley cyrus,2014,100,1,2010s,0.0
uptown funk,mark ronson featuring bruno mars,2015,1,1,2010s,1.0
thinking out loud,ed sheeran,2015,2,1,2010s,1.0
see you again,wiz khalifa featuring charlie puth,2015,3,1,2010s,1.0
trap queen,fetty wap,2015,4,1,2010s,1.0
sugar,maroon 5,2015,5,1,2010s,1.0
shut up and dance,walk the moon,2015,6,1,2010s,1.0
blank space,taylor swift,2015,7,1,2010s,1.0
watch me,silento,2015,8,1,2010s,1.0
earned it,the weeknd,2015,9,1,2010s,1.0
the hills,the weeknd,2015,10,1,2010s,1.0
cheerleader,omi,2015,11,1,2010s,0.0
cant feel my face,the weeknd,2015,12,1,2010s,0.0
love me like you do,ellie goulding,2015,13,1,2010s,0.0
take me to church,hozier,2015,14,1,2010s,0.0
bad blood,taylor swift featuring kendrick lamar,2015,15,1,2010s,0.0
lean on,major lazer x dj snake featuring mo,2015,16,1,2010s,0.0
want to want me,jason derulo,2015,17,1,2010s,0.0
where are u now,skrillex & diplo,2015,19,1,2010s,0.0
fight song,rachel platten,2015,20,1,2010s,0.0
679,fetty wap featuring remy boyz,2015,21,1,2010s,0.0
lips are movin,meghan trainor,2015,22,1,2010s,0.0
worth it,fifth harmony featuring kid ink,2015,23,1,2010s,0.0
post to be,omarion featuring chris brown & jhene aiko,2015,24,1,2010s,0.0
honey im good,andy grammer,2015,25,1,2010s,0.0
im not the only one,sam smith,2015,26,1,2010s,0.0
good for you,selena gomez featuring a$ap rocky,2015,27,1,2010s,0.0
style,taylor swift,2015,29,1,2010s,0.0
hotline bling,drake,2015,30,1,2010s,0.0
hey mama,"david guetta featuring nicki minaj, bebe rexha & afrojack",2015,31,1,2010s,0.0
gdfr,flo rida featuring sage the gemini & lookas,2015,32,1,2010s,0.0
what do you mean,justin bieber,2015,33,1,2010s,0.0
photograph,ed sheeran,2015,34,1,2010s,0.0
hello,adele,2015,35,1,2010s,0.0
stitches,shawn mendes,2015,36,1,2010s,0.0
talking body,tove lo,2015,37,1,2010s,0.0
jealous,nick jonas,2015,38,1,2010s,0.0
time of our lives,pitbull & ne-yo,2015,39,1,2010s,0.0
locked away,r. city featuring adam levine,2015,40,1,2010s,0.0
somebody,natalie la rose featuring jeremih,2015,41,1,2010s,0.0
fourfiveseconds,rihanna & kanye west & paul mccartney,2015,42,1,2010s,0.0
centuries,fall out boy,2015,43,1,2010s,0.0
my way,fetty wap featuring monty,2015,44,1,2010s,0.0
take your time,sam hunt,2015,45,1,2010s,0.0
i dont fk with you,big sean featuring e-40,2015,47,1,2010s,0.0
b better have my money,rihanna,2015,48,1,2010s,0.0
flex,rich homie quan,2015,49,1,2010s,0.0
nasty freestyle,t-wayne,2015,50,1,2010s,0.0
only,"nicki minaj featuring drake, lil wayne & chris brown",2015,51,1,2010s,0.0
elastic heart,sia,2015,52,1,2010s,0.0
cool for the summer,demi lovato,2015,53,1,2010s,0.0
renegades,x ambassadors,2015,54,1,2010s,0.0
i dont mind,usher featuring juicy j,2015,55,1,2010s,0.0
love me harder,ariana grande & the weeknd,2015,56,1,2010s,0.0
wildest dreams,taylor swift,2015,57,1,2010s,0.0
you know you like it,dj snake & alunageorge,2015,59,1,2010s,0.0
uma thurman,fall out boy,2015,60,1,2010s,0.0
711,beyonce,2015,61,1,2010s,0.0
the heart wants what it wants,selena gomez,2015,62,1,2010s,0.0
girl crush,little big town,2015,63,1,2010s,0.0
slow motion,trey songz,2015,64,1,2010s,0.0
drag me down,one direction,2015,65,1,2010s,0.0
truffle butter,nicki minaj featuring drake & lil wayne,2015,66,1,2010s,0.0
one last time,ariana grande,2015,67,1,2010s,0.0
chains,nick jonas,2015,68,1,2010s,0.0
all eyes on you,meek mill featuring chris brown & nicki minaj,2015,69,1,2010s,0.0
no type,rae sremmurd,2015,70,1,2010s,0.0
riptide,vance joy,2015,71,1,2010s,0.0
classic man,jidenna featuring roman gianarthur,2015,72,1,2010s,0.0
exs  ohs,elle king,2015,73,1,2010s,0.0
dear future husband,meghan trainor,2015,74,1,2010s,0.0
marvin gaye,charlie puth featuring meghan trainor,2015,75,1,2010s,0.0
like im gonna lose you,meghan trainor featuring john legend,2015,76,1,2010s,0.0
the hanging tree,james newton howard featuring jennifer lawrence,2015,78,1,2010s,0.0
coco,o.t. genasis,2015,79,1,2010s,0.0
lay me down,sam smith,2015,81,1,2010s,0.0
tuesday,i love makonnen featuring drake,2015,82,1,2010s,0.0
hit the quan,ilovememphis,2015,83,1,2010s,0.0
downtown,"macklemore & ryan lewis featuring eric nally, melle mel, kool moe dee & grandmaster caz",2015,84,1,2010s,0.0
house party,sam hunt,2015,85,1,2010s,0.0
ayo,chris brown & tyga,2015,86,1,2010s,0.0
kick the dust up,luke bryan,2015,87,1,2010s,0.0
blessings,big sean featuring drake,2015,88,1,2010s,0.0
budapest,george ezra,2015,89,1,2010s,0.0
heartbeat song,kelly clarkson,2015,91,1,2010s,0.0
ghost,ella henderson,2015,93,1,2010s,0.0
here,alessia cara,2015,94,1,2010s,0.0
waves,mr. probz,2015,95,1,2010s,0.0
el perdon,nicky jam & enrique iglesias,2015,96,1,2010s,0.0
she knows,ne-yo featuring juicy j,2015,97,1,2010s,0.0
night changes,one direction,2015,98,1,2010s,0.0
back to back,drake,2015,99,1,2010s,0.0
how deep is your love,calvin harris & disciples,2015,100,1,2010s,0.0
love yourself,justin bieber,2016,1,1,2010s,1.0
sorry,justin bieber,2016,2,1,2010s,1.0
one dance,drake featuring wizkid & kyla,2016,3,1,2010s,1.0
work,rihanna featuring drake,2016,4,1,2010s,1.0
stressed out,twenty one pilots,2016,5,1,2010s,1.0
panda,desiigner,2016,6,1,2010s,1.0
dont let me down,the chainsmokers featuring daya,2016,8,1,2010s,1.0
cant stop the feeling,justin timberlake,2016,9,1,2010s,1.0
closer,the chainsmokers featuring halsey,2016,10,1,2010s,1.0
cheap thrills,sia featuring sean paul,2016,11,1,2010s,0.0
7 years,lukas graham,2016,12,1,2010s,0.0
needed me,rihanna,2016,13,1,2010s,0.0
my house,flo rida,2016,14,1,2010s,0.0
i took a pill in ibiza,mike posner,2016,15,1,2010s,0.0
work from home,fifth harmony featuring ty dolla $ign,2016,16,1,2010s,0.0
this is what you came for,calvin harris featuring rihanna,2016,17,1,2010s,0.0
cake by the ocean,dnce,2016,18,1,2010s,0.0
me myself  i,g-eazy x bebe rexha,2016,19,1,2010s,0.0
ride,twenty one pilots,2016,20,1,2010s,0.0
heathens,twenty one pilots,2016,21,1,2010s,0.0
pillowtalk,zayn,2016,22,1,2010s,0.0
cold water,major lazer featuring justin bieber & mo,2016,25,1,2010s,0.0
send my love,adele,2016,26,1,2010s,0.0
roses,the chainsmokers featuring rozes,2016,27,1,2010s,0.0
treat you better,shawn mendes,2016,28,1,2010s,0.0
too good,drake featuring rihanna,2016,29,1,2010s,0.0
low life,future featuring the weeknd,2016,30,1,2010s,0.0
just like fire,p!nk,2016,33,1,2010s,0.0
broccoli,d.r.a.m. featuring lil yachty,2016,34,1,2010s,0.0
dont,bryson tiller,2016,35,1,2010s,0.0
dangerous woman,ariana grande,2016,36,1,2010s,0.0
jumpman,drake & future,2016,37,1,2010s,0.0
i hate u i love u,gnash featuring olivia o'brien,2016,38,1,2010s,0.0
same old love,selena gomez,2016,40,1,2010s,0.0
controlla,drake,2016,41,1,2010s,0.0
one call away,charlie puth,2016,43,1,2010s,0.0
let it go,james bay,2016,44,1,2010s,0.0
no,meghan trainor,2016,45,1,2010s,0.0
never forget you,zara larsson & mnek,2016,46,1,2010s,0.0
let me love you,dj snake featuring justin bieber,2016,47,1,2010s,0.0
dont mind,kent jones,2016,48,1,2010s,0.0
holy,florida georgia line,2016,49,1,2010s,0.0
we dont talk anymore,charlie puth featuring selena gomez,2016,50,1,2010s,0.0
into you,ariana grande,2016,51,1,2010s,0.0
gold,kiiara,2016,52,1,2010s,0.0
exchange,bryson tiller,2016,53,1,2010s,0.0
oui,jeremih,2016,55,1,2010s,0.0
hands to myself,selena gomez,2016,56,1,2010s,0.0
2 phones,kevin gates,2016,57,1,2010s,0.0
starboy,the weeknd featuring daft punk,2016,58,1,2010s,0.0
for free,dj khaled featuring drake,2016,59,1,2010s,0.0
never be like you,flume featuring kai,2016,60,1,2010s,0.0
in the night,the weeknd,2016,61,1,2010s,0.0
me too,meghan trainor,2016,62,1,2010s,0.0
die a happy man,thomas rhett,2016,64,1,2010s,0.0
white iverson,post malone,2016,65,1,2010s,0.0
close,nick jonas featuring tove lo,2016,66,1,2010s,0.0
unsteady,x ambassadors,2016,67,1,2010s,0.0
sucker for pain,"lil wayne, wiz khalifa & imagine dragons",2016,68,1,2010s,0.0
down in the dm,yo gotti featuring nicki minaj,2016,69,1,2010s,0.0
luv,tory lanez,2016,70,1,2010s,0.0
sorry,beyonce,2016,71,1,2010s,0.0
hymn for the weekend,coldplay,2016,73,1,2010s,0.0
say it,tory lanez,2016,74,1,2010s,0.0
antidote,travis scott,2016,75,1,2010s,0.0
lost boy,ruth b,2016,76,1,2010s,0.0
side to side,ariana grande featuring nicki minaj,2016,77,1,2010s,0.0
sit still look pretty,daya,2016,78,1,2010s,0.0
middle,dj snake featuring bipolar sunshine,2016,80,1,2010s,0.0
on my mind,ellie goulding,2016,81,1,2010s,0.0
pop style,drake featuring the throne,2016,82,1,2010s,0.0
when we were young,adele,2016,83,1,2010s,0.0
hide away,daya,2016,84,1,2010s,0.0
i know what you did last summer,shawn mendes & camila cabello,2016,86,1,2010s,0.0
back to sleep,chris brown,2016,89,1,2010s,0.0
no limit,usher featuring young thug,2016,90,1,2010s,0.0
cut it,o.t. genasis featuring young dolph,2016,91,1,2010s,0.0
really really,kevin gates,2016,92,1,2010s,0.0
all in my head,fifth harmony featuring fetty wap,2016,93,1,2010s,0.0
starving,hailee steinfeld & grey featuring zedd,2016,94,1,2010s,0.0
adventure of a lifetime,coldplay,2016,95,1,2010s,0.0
humble and kind,tim mcgraw,2016,96,1,2010s,0.0
wicked,future,2016,97,1,2010s,0.0
tiimmy turner,desiigner,2016,98,1,2010s,0.0
perfect,one direction,2016,100,1,2010s,0.0
shape of you,ed sheeran,2017,1,1,2010s,1.0
despacito,luis fonsi & daddy yankee featuring justin bieber,2017,2,1,2010s,1.0
thats what i like,bruno mars,2017,3,1,2010s,1.0
humble,kendrick lamar,2017,4,1,2010s,1.0
something just like this,the chainsmokers & coldplay,2017,5,1,2010s,1.0
bad and boujee,migos featuring lil uzi vert,2017,6,1,2010s,1.0
body like a back road,sam hunt,2017,8,1,2010s,1.0
believer,imagine dragons,2017,9,1,2010s,1.0
congratulations,post malone featuring quavo,2017,10,1,2010s,1.0
say you wont let go,james arthur,2017,11,1,2010s,0.0
im the one,"dj khaled featuring justin bieber, quavo, chance the rapper & lil wayne",2017,12,1,2010s,0.0
xo tour llif3,lil uzi vert,2017,13,1,2010s,0.0
mask off,future,2017,14,1,2010s,0.0
unforgettable,french montana featuring swae lee,2017,15,1,2010s,0.0
24k magic,bruno mars,2017,16,1,2010s,0.0
stay,zedd & alessia cara,2017,17,1,2010s,0.0
wild thoughts,dj khaled featuring rihanna & bryson tiller,2017,18,1,2010s,0.0
black beatles,rae sremmurd featuring gucci mane,2017,19,1,2010s,0.0
location,khalid,2017,21,1,2010s,0.0
attention,charlie puth,2017,22,1,2010s,0.0
theres nothing holdin me back,shawn mendes,2017,23,1,2010s,0.0
bodak yellow,cardi b,2017,24,1,2010s,0.0
redbone,childish gambino,2017,25,1,2010s,0.0
i dont wanna live forever,zayn / taylor swift,2017,26,1,2010s,0.0
it aint me,kygo x selena gomez,2017,27,1,2010s,0.0
ispy,kyle featuring lil yachty,2017,28,1,2010s,0.0
issues,julia michaels,2017,29,1,2010s,0.0
scars to your beautiful,alessia cara,2017,30,1,2010s,0.0
18002738255,logic featuring alessia cara & khalid,2017,31,1,2010s,0.0
slow hands,niall horan,2017,32,1,2010s,0.0
love on the brain,rihanna,2017,33,1,2010s,0.0
i feel it coming,the weeknd featuring daft punk,2017,34,1,2010s,0.0
bounce back,big sean,2017,35,1,2010s,0.0
strip that down,liam payne featuring quavo,2017,36,1,2010s,0.0
fake love,drake,2017,37,1,2010s,0.0
dont wanna know,maroon 5 featuring kendrick lamar,2017,38,1,2010s,0.0
look what you made me do,taylor swift,2017,39,1,2010s,0.0
castle on the hill,ed sheeran,2017,40,1,2010s,0.0
bad things,machine gun kelly x camila cabello,2017,41,1,2010s,0.0
paris,the chainsmokers,2017,42,1,2010s,0.0
rockabye,clean bandit featuring sean paul & anne-marie,2017,44,1,2010s,0.0
feel it still,portugal. the man,2017,45,1,2010s,0.0
sorry not sorry,demi lovato,2017,47,1,2010s,0.0
bank account,21 savage,2017,48,1,2010s,0.0
mi gente,j balvin & willy william featuring beyonce,2017,50,1,2010s,0.0
thunder,imagine dragons,2017,51,1,2010s,0.0
tshirt,migos,2017,52,1,2010s,0.0
rake it up,yo gotti featuring nicki minaj,2017,53,1,2010s,0.0
mercy,shawn mendes,2017,54,1,2010s,0.0
tunnel vision,kodak black,2017,55,1,2010s,0.0
rockstar,post malone featuring 21 savage,2017,56,1,2010s,0.0
in case you didnt know,brett young,2017,57,1,2010s,0.0
now or never,halsey,2017,59,1,2010s,0.0
caroline,amine,2017,60,1,2010s,0.0
rolex,ayo & teo,2017,61,1,2010s,0.0
dna,kendrick lamar,2017,62,1,2010s,0.0
juju on that beat,zay hilfigerrr & zayion mccall,2017,63,1,2010s,0.0
swang,rae sremmurd,2017,64,1,2010s,0.0
passionfruit,drake,2017,65,1,2010s,0.0
loyalty,kendrick lamar featuring rihanna,2017,66,1,2010s,0.0
praying,kesha,2017,67,1,2010s,0.0
goosebumps,travis scott,2017,68,1,2010s,0.0
cold,maroon 5 featuring future,2017,69,1,2010s,0.0
slide,calvin harris featuring frank ocean & migos,2017,71,1,2010s,0.0
what ifs,kane brown featuring lauren alaina,2017,72,1,2010s,0.0
chained to the rhythm,katy perry featuring skip marley,2017,73,1,2010s,0.0
feels,"calvin harris featuring pharrell williams, katy perry & big sean",2017,74,1,2010s,0.0
all time low,jon bellion,2017,75,1,2010s,0.0
hurricane,luke combs,2017,76,1,2010s,0.0
too good at goodbyes,sam smith,2017,77,1,2010s,0.0
young dumb  broke,khalid,2017,78,1,2010s,0.0
magnolia,playboi carti,2017,79,1,2010s,0.0
love galore,sza featuring travis scott,2017,80,1,2010s,0.0
drowning,a boogie wit da hoodie featuring kodak black,2017,81,1,2010s,0.0
both,gucci mane featuring drake,2017,83,1,2010s,0.0
what about us,p!nk,2017,84,1,2010s,0.0
swalla,jason derulo featuring nicki minaj & ty dolla $ign,2017,85,1,2010s,0.0
slippery,migos featuring gucci mane,2017,86,1,2010s,0.0
sign of the times,harry styles,2017,87,1,2010s,0.0
water under the bridge,adele,2017,88,1,2010s,0.0
malibu,miley cyrus,2017,89,1,2010s,0.0
down,marian hill,2017,90,1,2010s,0.0
no promises,cheat codes featuring demi lovato,2017,91,1,2010s,0.0
i get the bag,gucci mane featuring migos,2017,93,1,2010s,0.0
small town boy,dustin lynch,2017,94,1,2010s,0.0
everyday we lit,yfn lucci featuring pnb rock,2017,95,1,2010s,0.0
havana,camila cabello featuring young thug,2017,96,1,2010s,0.0
what lovers do,maroon 5 featuring sza,2017,97,1,2010s,0.0
